det_fecha_hora,epi,mag,int_max,emis_fecha_hora,href,det_fecha_hora_local,lat_0,lon_0,prof_epi,id,prof_epi_nro,lat,lon
2023-06-04 07:42:00,Mares cercanos de Islas Tokara,3.2,2,2023-06-04 07:45:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604194524&lang=es,2023-06-04 19:42:00,29.9N,130.0E,10km,20230604194524,10.0,29.9,130.0
2023-06-04 03:50:00,Noroeste de Prefectura de Chiba,4.0,1,2023-06-04 03:53:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604155306&lang=es,2023-06-04 15:50:00,35.6N,140.2E,60km,20230604155306,60.0,35.6,140.2
2023-06-04 02:37:00,Interior sur de Prefectura de Akita,2.7,1,2023-06-04 02:39:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604143959&lang=es,2023-06-04 14:37:00,39.6N,140.6E,10km,20230604143959,10.0,39.6,140.6
2023-06-03 22:58:00,Noroeste de Prefectura de Chiba,4.6,3,2023-06-03 23:02:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604110224&lang=es,2023-06-04 10:58:00,35.8N,140.1E,70km,20230604110224,70.0,35.8,140.1
2023-06-03 18:12:00,Alta mar de Península de Noto,3.0,2,2023-06-03 18:15:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604061522&lang=es,2023-06-04 06:12:00,37.5N,137.4E,Poco profundo,20230604061522,1.0,37.5,137.4
2023-06-03 16:45:00,Mares cercanos de Islas Tokara,2.2,1,2023-06-03 16:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604044841&lang=es,2023-06-04 04:45:00,29.9N,130.0E,10km,20230604044841,10.0,29.9,130.0
2023-06-03 15:57:00,Alta mar de Kushiro,3.5,1,2023-06-03 16:01:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604040114&lang=es,2023-06-04 03:57:00,42.9N,145.5E,30km,20230604040114,30.0,42.9,145.5
2023-06-03 14:19:00,Mares cercanos de Islas Tokara,2.4,1,2023-06-03 14:22:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604022250&lang=es,2023-06-04 02:19:00,29.9N,130.0E,10km,20230604022250,10.0,29.9,130.0
2023-06-03 13:17:00,Mares cercanos de Islas Tokara,2.8,1,2023-06-03 13:21:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230604012147&lang=es,2023-06-04 01:17:00,29.9N,130.0E,10km,20230604012147,10.0,29.9,130.0
2023-06-03 07:35:00,Alta mar de Uraga,5.1,3,2023-06-03 07:39:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230603193936&lang=es,2023-06-03 19:35:00,42.0N,142.6E,60km,20230603193936,60.0,42.0,142.6
2023-06-03 02:59:00,"Región Chuetsu, Prefectura de Niigata",2.6,1,2023-06-03 03:01:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230603150150&lang=es,2023-06-03 14:59:00,37.3N,138.9E,20km,20230603150150,20.0,37.3,138.9
2023-06-03 02:13:00,"Región Noto, Prefectura de Ishikawa",2.5,1,2023-06-03 02:15:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230603141544&lang=es,2023-06-03 14:13:00,37.5N,137.2E,10km,20230603141544,10.0,37.5,137.2
2023-06-02 13:51:00,Norte de Prefectura de Wakayama,2.3,1,2023-06-02 13:54:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230603015416&lang=es,2023-06-03 01:51:00,34.0N,135.2E,10km,20230603015416,10.0,34.0,135.2
2023-06-02 05:06:00,"Región Hida, Prefectura de Gifu",2.7,1,2023-06-02 05:09:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602170942&lang=es,2023-06-02 17:06:00,36.0N,137.4E,10km,20230602170942,10.0,36.0,137.4
2023-06-02 04:45:00,Estrecho de Tsugaru,3.4,1,2023-06-02 04:48:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602164819&lang=es,2023-06-02 16:45:00,41.6N,140.6E,10km,20230602164819,10.0,41.6,140.6
2023-06-02 01:04:00,Alta mar de Prefectura de Ibaraki,3.1,1,2023-06-02 01:07:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602130747&lang=es,2023-06-02 13:04:00,36.7N,140.9E,50km,20230602130747,50.0,36.7,140.9
2023-06-01 18:36:00,Mares cercanos de Islas Tokara,2.1,1,2023-06-01 18:39:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602063953&lang=es,2023-06-02 06:36:00,29.9N,130.0E,10km,20230602063953,10.0,29.9,130.0
2023-06-01 14:57:00,"Región Hida, Prefectura de Gifu",2.5,1,2023-06-01 15:00:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602030012&lang=es,2023-06-02 02:57:00,36.0N,137.4E,Poco profundo,20230602030012,1.0,36.0,137.4
2023-06-01 14:55:00,"Región Hida, Prefectura de Gifu",2.8,1,2023-06-01 14:57:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230602025751&lang=es,2023-06-02 02:55:00,36.1N,137.4E,10km,20230602025751,10.0,36.1,137.4
2023-06-01 10:14:00,Mares cercanos de Islas Tokara,2.4,1,2023-06-01 10:17:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601221743&lang=es,2023-06-01 22:14:00,30.0N,130.0E,10km,20230601221743,10.0,30.0,130.0
2023-06-01 08:47:00,Mares cercanos de Islas Tokara,2.4,1,2023-06-01 08:50:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601205001&lang=es,2023-06-01 20:47:00,29.9N,130.0E,10km,20230601205001,10.0,29.9,130.0
2023-06-01 08:27:00,Mares cercanos de Islas Tokara,3.1,2,2023-06-01 08:29:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601202949&lang=es,2023-06-01 20:27:00,29.9N,130.0E,10km,20230601202949,10.0,29.9,130.0
2023-06-01 08:11:00,Mares cercanos de Islas Tokara,3.6,3,2023-06-01 08:14:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601201433&lang=es,2023-06-01 20:11:00,30.0N,129.9E,10km,20230601201433,10.0,30.0,129.9
2023-06-01 07:34:00,Mares cercanos de Islas Tokara,2.1,1,2023-06-01 07:37:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601193709&lang=es,2023-06-01 19:34:00,29.9N,130.0E,10km,20230601193709,10.0,29.9,130.0
2023-06-01 05:49:00,Mares cercanos de Islas Tokara,2.2,1,2023-06-01 05:52:00,https://www.data.jma.go.jp/multi/quake/quake_detail.html?eventID=20230601175224&lang=es,2023-06-01 17:49:00,30.0N,130.0E,10km,20230601175224,10.0,30.0,130.0
